Location;Population
Vila da Praia da Vitória;21 532
Santa Cruz da Graciosa;4 405
Calheta [R.A.A.];3 505
Velas;5 347
Lajes do Pico;4 701
Madalena;6 051
São Roque do Pico;3 371
Horta;15 004
Lajes das Flores;1 527
Santa Cruz das Flores;2 248
Corvo;456
Calheta [R.A.M.];11 334
Câmara de Lobos;34 912
Funchal;108 601
Machico;21 242
Ponta do Sol;8 793
Porto Moniz;2 556
Ribeira Brava;12 961
Santa Cruz;43 678
Santana;7 338
São Vicente;5 467
Porto Santo;5 323
